"timestamp","azimuth","elevation","timestamp_float"
"2024-03-26T02:18:35.000000+00:00","116.366","20.522","1711419515.0"
"2024-03-26T02:18:36.000000+00:00","116.366","20.522","1711419516.0"
"2024-03-26T02:18:37.000000+00:00","116.365","20.522","1711419517.0"
"2024-03-26T02:18:38.000000+00:00","116.364","20.523","1711419518.0"
"2024-03-26T02:18:39.000000+00:00","116.364","20.522","1711419519.0"
"2024-03-26T02:18:40.000000+00:00","116.364","20.522","1711419520.0"
"2024-03-26T02:18:41.000000+00:00","116.365","20.522","1711419521.0"
"2024-03-26T02:18:42.000000+00:00","116.364","20.522","1711419522.0"
"2024-03-26T02:18:43.000000+00:00","116.364","20.522","1711419523.0"
"2024-03-26T02:18:44.000000+00:00","116.364","20.522","1711419524.0"
"2024-03-26T02:18:45.000000+00:00","116.364","20.522","1711419525.0"
"2024-03-26T02:18:46.000000+00:00","116.364","20.522","1711419526.0"
"2024-03-26T02:18:47.000000+00:00","116.365","20.522","1711419527.0"
"2024-03-26T02:18:48.000000+00:00","116.364","20.522","1711419528.0"
"2024-03-26T02:18:49.000000+00:00","116.364","20.522","1711419529.0"
"2024-03-26T02:18:50.000000+00:00","116.364","20.522","1711419530.0"
"2024-03-26T02:18:51.000000+00:00","116.364","20.522","1711419531.0"
"2024-03-26T02:18:52.000000+00:00","116.365","20.522","1711419532.0"
"2024-03-26T02:18:53.000000+00:00","116.364","20.522","1711419533.0"
"2024-03-26T02:18:54.000000+00:00","116.364","20.522","1711419534.0"
"2024-03-26T02:18:55.000000+00:00","116.364","20.522","1711419535.0"
"2024-03-26T02:18:56.000000+00:00","116.365","20.522","1711419536.0"
"2024-03-26T02:18:57.000000+00:00","116.365","20.522","1711419537.0"
"2024-03-26T02:18:58.000000+00:00","116.364","20.522","1711419538.0"
"2024-03-26T02:18:59.000000+00:00","116.364","20.522","1711419539.0"
"2024-03-26T02:19:00.000000+00:00","116.364","20.522","1711419540.0"
"2024-03-26T02:19:01.000000+00:00","116.365","20.522","1711419541.0"
"2024-03-26T02:19:02.000000+00:00","116.365","20.522","1711419542.0"
"2024-03-26T02:19:03.000000+00:00","116.364","20.522","1711419543.0"
"2024-03-26T02:19:04.000000+00:00","116.364","20.522","1711419544.0"
"2024-03-26T02:19:05.000000+00:00","116.364","20.522","1711419545.0"
"2024-03-26T02:19:06.000000+00:00","116.365","20.522","1711419546.0"
"2024-03-26T02:19:07.000000+00:00","116.364","20.522","1711419547.0"
"2024-03-26T02:19:08.000000+00:00","116.361","20.522","1711419548.0"
"2024-03-26T02:19:09.000000+00:00","116.361","20.522","1711419549.0"
"2024-03-26T02:19:10.000000+00:00","116.362","20.522","1711419550.0"
"2024-03-26T02:19:11.000000+00:00","116.361","20.522","1711419551.0"
"2024-03-26T02:19:13.000000+00:00","116.361","20.522","1711419553.0"
"2024-03-26T02:19:14.000000+00:00","116.361","20.522","1711419554.0"
"2024-03-26T02:19:15.000000+00:00","116.361","20.522","1711419555.0"
"2024-03-26T02:19:16.000000+00:00","116.362","20.522","1711419556.0"
"2024-03-26T02:19:17.000000+00:00","116.37","20.522","1711419557.0"
"2024-03-26T02:19:18.000000+00:00","116.371","20.522","1711419558.0"
"2024-03-26T02:19:19.000000+00:00","116.371","20.522","1711419559.0"
"2024-03-26T02:19:20.000000+00:00","116.37","20.522","1711419560.0"
"2024-03-26T02:19:21.000000+00:00","116.356","20.522","1711419561.0"
