"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T02:15:21.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:15:22.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:15:23.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:15:24.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:15:25.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:26.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:15:27.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:28.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:15:29.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:15:30.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:31.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:32.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:15:33.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:35.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:36.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:37.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:15:38.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:15:39.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:40.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:15:41.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:15:42.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:15:43.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:15:44.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:15:45.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:15:46.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:15:47.000000+00:00","116.369","20.522","116.364","20.522"
"2024-03-26T02:15:48.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:15:49.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:15:50.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:51.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:15:52.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:15:53.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:54.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:55.000000+00:00","116.366","20.522","116.364","20.522"
"2024-03-26T02:15:56.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:57.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:58.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:15:59.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:16:00.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:16:01.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:16:02.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:16:03.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:04.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:05.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:06.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:07.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:08.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:16:09.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:16:10.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:16:11.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:16:12.000000+00:00","116.361","20.522","116.364","20.522"
"2024-03-26T02:16:13.000000+00:00","116.351","20.522","116.364","20.522"
"2024-03-26T02:16:14.000000+00:00","116.349","20.522","116.364","20.522"
"2024-03-26T02:16:15.000000+00:00","116.376","20.523","116.364","20.522"
"2024-03-26T02:16:16.000000+00:00","116.375","20.522","116.364","20.522"
"2024-03-26T02:16:17.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:16:18.000000+00:00","116.35","20.522","116.364","20.522"
"2024-03-26T02:16:19.000000+00:00","116.35","20.522","116.364","20.522"
"2024-03-26T02:16:20.000000+00:00","116.377","20.522","116.364","20.522"
"2024-03-26T02:16:21.000000+00:00","116.376","20.522","116.364","20.522"
"2024-03-26T02:16:22.000000+00:00","116.364","20.522","116.364","20.522"
"2024-03-26T02:16:23.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:16:24.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:16:25.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:26.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:16:27.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:28.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:16:29.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:16:30.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:16:31.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:16:32.000000+00:00","116.355","20.521","116.364","20.522"
"2024-03-26T02:16:33.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:16:34.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:16:35.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:16:36.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:16:37.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:16:38.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:16:39.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:16:40.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:16:41.000000+00:00","116.375","20.522","116.364","20.522"
