"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-49.66","1707262755.981795","2024-02-06T18:39:15.981795+00:00","",""
"-49.65","1707262756.128713","2024-02-06T18:39:16.128713+00:00","",""
"-49.65","1707262756.271756","2024-02-06T18:39:16.271756+00:00","",""
"-49.65","1707262756.418444","2024-02-06T18:39:16.418444+00:00","",""
"-49.65","1707262756.556119","2024-02-06T18:39:16.556119+00:00","",""
"-49.65","1707262756.704561","2024-02-06T18:39:16.704561+00:00","",""
"-49.65","1707262756.85485","2024-02-06T18:39:16.854850+00:00","",""
"-49.65","1707262756.99504","2024-02-06T18:39:16.995040+00:00","",""
"-49.65","1707262757.138394","2024-02-06T18:39:17.138394+00:00","",""
"-49.65","1707262757.287412","2024-02-06T18:39:17.287412+00:00","",""
"-49.65","1707262757.433811","2024-02-06T18:39:17.433811+00:00","",""
"-49.65","1707262757.571023","2024-02-06T18:39:17.571023+00:00","",""
"-49.65","1707262757.719631","2024-02-06T18:39:17.719631+00:00","",""
"-49.65","1707262757.864111","2024-02-06T18:39:17.864111+00:00","",""
"-49.65","1707262758.012482","2024-02-06T18:39:18.012482+00:00","",""
"-49.65","1707262758.149371","2024-02-06T18:39:18.149371+00:00","",""
"-49.64","1707262758.302737","2024-02-06T18:39:18.302737+00:00","",""
"-49.64","1707262758.447226","2024-02-06T18:39:18.447226+00:00","",""
"-49.64","1707262758.592925","2024-02-06T18:39:18.592925+00:00","",""
"-49.64","1707262758.737985","2024-02-06T18:39:18.737985+00:00","",""
"-49.64","1707262758.879457","2024-02-06T18:39:18.879457+00:00","",""
"-49.64","1707262759.027648","2024-02-06T18:39:19.027648+00:00","",""
"-49.64","1707262759.168585","2024-02-06T18:39:19.168585+00:00","",""
"-49.64","1707262759.317946","2024-02-06T18:39:19.317946+00:00","",""
"-49.64","1707262759.45707","2024-02-06T18:39:19.457070+00:00","",""
"-49.64","1707262759.607351","2024-02-06T18:39:19.607351+00:00","",""
"-49.64","1707262759.750923","2024-02-06T18:39:19.750923+00:00","",""
"-49.64","1707262759.897412","2024-02-06T18:39:19.897412+00:00","",""
"-49.64","1707262760.040999","2024-02-06T18:39:20.040999+00:00","",""
"-49.64","1707262760.187102","2024-02-06T18:39:20.187102+00:00","",""
"-49.65","1707262760.331201","2024-02-06T18:39:20.331201+00:00","",""
"-49.65","1707262760.467655","2024-02-06T18:39:20.467655+00:00","",""
"-49.65","1707262760.620934","2024-02-06T18:39:20.620934+00:00","",""
"-49.65","1707262760.761574","2024-02-06T18:39:20.761574+00:00","",""
"-49.65","1707262760.91014","2024-02-06T18:39:20.910140+00:00","",""
"-49.65","1707262761.054501","2024-02-06T18:39:21.054501+00:00","",""
"-49.65","1707262761.195995","2024-02-06T18:39:21.195995+00:00","",""
"-49.65","1707262761.336624","2024-02-06T18:39:21.336624+00:00","",""
"-49.65","1707262761.483312","2024-02-06T18:39:21.483312+00:00","",""
"-49.65","1707262761.635207","2024-02-06T18:39:21.635207+00:00","",""
"-49.65","1707262761.77898","2024-02-06T18:39:21.778980+00:00","",""
"-49.65","1707262761.916677","2024-02-06T18:39:21.916677+00:00","",""
"-49.65","1707262762.068642","2024-02-06T18:39:22.068642+00:00","",""
"-49.65","1707262762.214133","2024-02-06T18:39:22.214133+00:00","",""
"-49.65","1707262762.356697","2024-02-06T18:39:22.356697+00:00","",""
"-49.65","1707262762.498917","2024-02-06T18:39:22.498917+00:00","",""
"-49.65","1707262762.643074","2024-02-06T18:39:22.643074+00:00","",""
"-49.65","1707262762.787358","2024-02-06T18:39:22.787358+00:00","",""
"-49.65","1707262762.937819","2024-02-06T18:39:22.937819+00:00","",""
"-49.65","1707262763.075229","2024-02-06T18:39:23.075229+00:00","",""
"-49.65","1707262763.223542","2024-02-06T18:39:23.223542+00:00","",""
"-49.65","1707262763.368573","2024-02-06T18:39:23.368573+00:00","",""
"-49.65","1707262763.510217","2024-02-06T18:39:23.510217+00:00","",""
"-49.65","1707262763.659756","2024-02-06T18:39:23.659756+00:00","",""
"-49.65","1707262763.807029","2024-02-06T18:39:23.807029+00:00","",""
"-49.65","1707262763.948226","2024-02-06T18:39:23.948226+00:00","",""
"-49.65","1707262764.089979","2024-02-06T18:39:24.089979+00:00","",""
"-49.65","1707262764.233451","2024-02-06T18:39:24.233451+00:00","",""
"-49.65","1707262764.384474","2024-02-06T18:39:24.384474+00:00","",""
"-49.65","1707262764.524072","2024-02-06T18:39:24.524072+00:00","",""
"-49.65","1707262764.675418","2024-02-06T18:39:24.675418+00:00","",""
"-49.65","1707262764.815697","2024-02-06T18:39:24.815697+00:00","",""
"-49.65","1707262764.962149","2024-02-06T18:39:24.962149+00:00","",""
"-49.65","1707262765.103544","2024-02-06T18:39:25.103544+00:00","",""
"-49.65","1707262765.256026","2024-02-06T18:39:25.256026+00:00","",""
"-49.65","1707262765.392418","2024-02-06T18:39:25.392418+00:00","",""
"-49.65","1707262765.538206","2024-02-06T18:39:25.538206+00:00","",""
"-49.65","1707262765.688152","2024-02-06T18:39:25.688152+00:00","",""
"-49.65","1707262765.831553","2024-02-06T18:39:25.831553+00:00","",""
"-49.65","1707262765.980786","2024-02-06T18:39:25.980786+00:00","",""
"-49.65","1707262766.120271","2024-02-06T18:39:26.120271+00:00","",""
"-49.65","1707262766.263933","2024-02-06T18:39:26.263933+00:00","",""
"-49.65","1707262766.410757","2024-02-06T18:39:26.410757+00:00","",""
"-49.65","1707262766.550207","2024-02-06T18:39:26.550207+00:00","",""
"-49.65","1707262766.704035","2024-02-06T18:39:26.704035+00:00","",""
"-49.65","1707262766.847675","2024-02-06T18:39:26.847675+00:00","",""
"-49.65","1707262766.993414","2024-02-06T18:39:26.993414+00:00","",""
"-49.65","1707262767.138643","2024-02-06T18:39:27.138643+00:00","",""
"-49.65","1707262767.279871","2024-02-06T18:39:27.279871+00:00","",""
"-49.65","1707262767.421989","2024-02-06T18:39:27.421989+00:00","",""
"-49.65","1707262767.568042","2024-02-06T18:39:27.568042+00:00","",""
"-49.65","1707262767.713026","2024-02-06T18:39:27.713026+00:00","",""
"-49.65","1707262767.859166","2024-02-06T18:39:27.859166+00:00","",""
"-49.65","1707262767.998866","2024-02-06T18:39:27.998866+00:00","",""
"-49.65","1707262768.145151","2024-02-06T18:39:28.145151+00:00","",""
"-49.65","1707262768.292665","2024-02-06T18:39:28.292665+00:00","",""
"-49.65","1707262768.437093","2024-02-06T18:39:28.437093+00:00","",""
"-49.65","1707262768.578875","2024-02-06T18:39:28.578875+00:00","",""
